employment,wages,score
68.55,33761.1,25.4702182
68.525,34593.9,24.95924221
68.5,36155.1,25.61168088
68.375,35916.4,24.79662177
68.75,37157.6,23.53057015
68.95,38408.5,24.10811565
66.525,39143.2,23.59150835
67.4,40325.1,23.05211575
68.575,42262.7,22.60075583
69.875,43264.7,22.91702768
59.1,37191.8,21.93623939
59.3,38855.7,22.26142999
60.525,41264.3,22.49002796
59.95,42711.7,22.41527471
59.9,45191.3,20.66161792
59.6,44567.4,20.43950445
60.35,45349.9,21.351923
61.075,46187.1,22.1574813
61,47818,22.34507768
62.025,49527.9,23.23507271
57.4,10882,18.5423485
57.4,10917,17.01629422
57.8,11002,18.30448803
58.2,11999,18.4180865
59,11567,17.92625082
58.6,11308,16.60475915
59.8,11666,17.32023332
60.1,12348,17.05618325
60.3,12906,17.21029946
60.2,13007,17.99576153
67.98333,29781.8,20.6260569
68.95,30490.5,20.25992179
69.98333,31965.1,19.66481613
70.9,32835.9,20.2229714
70.79166,32892.3,20.04603801
71.41666,33699.6,20.08325902
72.18333,35311.8,20.94588402
72.45,37230.4,21.90747113
72.44167,38167.9,22.95217755
72.75833,39789.3,23.40022319
75.5,1200,33.74759852
75.1,1500,33.39219679
74.7,1900,33.43404164
73.6,2500,34.33418437
72.5,3300,35.98246442
71.4,4600,39.26910426
70.7,5700,40.57695659
70.1,6900,40.47087742
69.6,7800,39.7484221
69.2,8500,38.87477086
67.325,12901.6,30.41317301
65.625,13634.9,29.39631656
64.975,14619.5,30.59330678
65.025,16082.6,30.49870557
65.425,16842,29.24795387
64.725,18666.5,28.74310325
64.175,19926.6,28.11388551
64.8,21059.7,28.23450174
65.275,22506.1,27.98467205
66.075,23976.3,29.48608076
76.01,28625.8,21.56615413
76.05,29395.8,20.91998444
76.25,30448.9,21.50760563
76.2,30885.5,21.30335116
75.875,32538.8,20.63894103
75.125,32509.8,20.69941138
75.675,34056.2,20.66266888
75.9,34968.8,21.17335358
77.375,37113.8,23.27274024
77,38758.2,23.51342414
64.05,26690.8,22.22508348
66.275,27458.3,22.44037724
67.15,28665.6,23.08584261
68.125,29326.9,22.90271883
68.075,30106.7,21.62736278
67.7,30746.5,21.80656995
67.65,32713.1,22.29534885
68.375,33916.4,22.95741147
69.35,35555.9,22.78725943
70.3,37794.8,24.17302663
63.7,31260.4,19.90108707
63.98,32353.5,20.80929394
64.01,34023.4,21.51435325
64.04,35896.6,21.51339228
63.98,37453.9,20.95338982
64.05,36778.8,21.03484098
63.825,38183.5,21.3646092
63.75,39907,21.79743531
63.725,41540.4,22.45070884
64.35,42756.6,23.18266576
62.3,31620.5,22.61575737
63.4,32419.3,22.89813452
63.7,33033.5,22.98798004
62.9,33787.5,21.67566576
63.4,34420.4,20.03892653
63.2,35608.4,19.50844114
63.9,36344.7,19.15652993
65.45,36760.2,19.06943491
67.15,37819.8,19.82120547
